2021-10-23 15:43:15.529465: pb-IF4xJ2ok | message 2
2021-10-23 15:49:25.181649: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | hi testing chat logger ..smoothy
2021-10-23 15:53:18.720181: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | testing logger 2
2021-10-23 15:53:21.328814: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | 3
2021-10-23 15:53:23.536746: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | 4
2021-10-23 15:53:26.750919: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | 5
2021-10-23 15:53:31.449340: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | 6
2021-10-23 15:53:34.357371: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | 7
2021-10-23 15:53:38.152627: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | 8
2021-10-23 15:53:41.077009: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | 9
2021-11-25 22:15:06.477416: pb-IF5XUm9eAg== | ohh fuck
2021-11-25 22:15:10.409848: pb-IF5XUm9eAg== | shit
2021-11-25 22:15:14.275920: pb-IF5XUm9eAg== | bye
2021-11-25 22:15:16.296385: pb-IF5XUm9eAg== | no
2021-11-25 22:15:21.839111: pb-IF5XUm9eAg== | no
2021-11-25 22:15:24.687210: pb-IF5XUm9eAg== | fuck
2021-11-25 22:15:27.920635: pb-IF5XUm9eAg== | fuck
2021-11-25 22:15:30.901683: pb-IF5XUm9eAg== | uck
2021-11-25 22:15:33.372142: pb-IF5XUm9eAg== | fuck
2021-11-25 22:15:36.348450: pb-IF5XUm9eAg== | fuck
2021-11-25 22:15:39.339904: pb-IF5XUm9eAg== | okokoko
2021-12-31 00:45:25.857016: pb-IF4SCnRZ | gcuser1578447208313|1n ✶❘❑Mina❑❘✶| Hi!
2022-01-01 10:07:35.354805: pb-IF4dVUMkFQ== | EmotiveInsistence17|',-10,-10,-10,-1| поивет
2022-01-01 10:07:50.511353: pb-IF4dVUMkFQ== | EmotiveInsistence17|',-10,-10,-10,-1| привет
2022-01-01 10:08:02.793469: pb-IF4KV0kJLQ== | Android32886765|Larry| привет
2022-01-01 10:08:07.140859: pb-IF4dVUMkFQ== | EmotiveInsistence17|',-10,-10,-10,-1| стой я ща
2022-01-01 10:08:31.057104: pb-IF4dVUMkFQ== | EmotiveInsistence17|Jack| это я
2022-01-01 10:09:39.073073: pb-IF4KV0kJLQ== | Android32886765|Larry| с новым годом
2022-01-01 10:09:43.468610: pb-IF4dVUMkFQ== | EmotiveInsistence17|Jack| ага ит те
2022-01-01 10:10:02.633486: pb-IF4KV0kJLQ== | Android32886765|Larry| я щас приду
2022-01-01 10:10:02.713199: pb-IF4KV0kJLQ== | Android32886765|Larry| 
2022-01-01 10:10:02.913280: pb-IF4KV0kJLQ== | Android32886765|Larry| 
2022-01-01 10:10:33.984124: pb-IF4dVUMkFQ== | EmotiveInsistence17|Jack| го на сервер 
2022-01-01 10:10:47.141101: pb-IF4dVUMkFQ== | EmotiveInsistence17|Jack| Soccer X
2022-01-01 10:11:04.676920: pb-IF4KV0kJLQ== | Android32886765|Larry| ок
2022-01-01 10:13:14.986747: pb-IF4tV3kMUA== | Android46022055|Jack| What the hell?
2022-01-01 10:13:18.824186: pb-IF4tV3kMUA== | Android46022055|Jack| ****
2022-01-01 10:13:25.897232: pb-IF4tV3kMUA== | Android46022055|Jack| What is 876 + 39?
2022-01-01 10:13:40.948546: pb-IF4tV3kMUA== | Android46022055|Jack| Play For Fun, Dont Bully Anyone
2022-01-01 10:14:09.168164: pb-IF4tV3kMUA== | Android46022055|Jack| v1.3.2 
2022-01-01 10:14:12.073647: pb-IF4tV3kMUA== | Android46022055|Jack| Bartixxx Server
2022-01-01 11:26:24.258152: pb-IF42UnQhNQ== | InhibitoryRevolt125|InhibitoryRevolt125| 
2022-01-01 12:53:57.980804: pb-IF4mUnYnIw== | Android57037353|<in-lobby>| you guys are teamers
2022-01-01 13:51:53.453052: pb-IF4eXlEi | FloatingRaven94981|FloatingRaven94981| 
